dateUSA,maars,taglom,dynamo
20/10/2000,0.040949927,0,0
20/10/2000,0.041975365,0,0
20/10/2000,0.036839584,0,0
20/10/2000,0.038465636,0,0
20/10/2000,0.041569373,0,0
20/10/2000,0.037257243,0,0
20/10/2000,0.037860276,0,0
20/10/2000,0.031225888,0,0
20/10/2000,0.035252403,0,0
20/10/2000,0.040330767,0,0
20/10/2000,0.041053776,0,0
20/10/2000,0.039942985,0,0
20/10/2000,0.043207928,0,0
20/10/2000,0.042702666,0,0
20/10/2000,0.048563121,0,0
20/10/2000,0.053263281,0,0
20/10/2000,0.0627674,0,0
20/11/2000,0.057317496,0,0
20/11/2000,0.057565786,0,0
20/11/2000,0.057497985,0,0
20/11/2000,0.057191696,0,0
20/11/2000,0.053990919,0,0
20/11/2000,0.057421008,0,0
20/11/2000,0.05798596,0,0
20/11/2000,0.061029624,0,0
20/11/2000,0.0612939,0,0
20/11/2000,0.05768774,0,0
20/11/2000,0.058833695,0,0
20/11/2000,0.060696235,0,0
20/11/2000,0.060341779,0,0
20/11/2000,0.06696263,0,0
20/11/2000,0.066090251,0,0
20/11/2000,0.064807534,0,0
20/11/2000,0.066415479,0,0
20/11/2000,0.072263364,0,0
20/11/2000,0.076996601,0,0
20/11/2000,0.074505068,0,0
20/11/2000,0.080104316,0,0
20/11/2000,0.080094014,0,0
20/12/2000,0.078258384,0,0
20/12/2000,0.073672346,0,0
20/12/2000,0.076249743,0,0
20/12/2000,0.080572079,0,0
20/12/2000,0.080036043,0,0
20/12/2000,0.07788165,0,0
20/12/2000,0.071528197,0,0
20/12/2000,0.074559383,0,0
20/12/2000,0.077253029,0,0
20/12/2000,0.079432665,0,0
20/12/2000,0.084061691,0,0
20/12/2000,0.088118098,0,0
20/12/2000,0.095070428,0,0
20/12/2000,0.100288318,0,0
20/12/2000,0.10216819,0,0
20/12/2000,0.101086994,0,0
20/12/2000,0.101791611,0,0
20/12/2000,0.104492651,0,0
20/12/2000,0.105149329,0,0
20/12/2000,0.101107562,0,0
20/12/2000,0.106024797,0,0
20/1/2001,0.105737561,0,0
20/1/2001,0.115247458,0,0
20/1/2001,0.100900535,0,0
20/1/2001,0.118923404,0,0
20/1/2001,0.115473019,0,0
20/1/2001,0.110340246,0,0
20/1/2001,0.114292689,0,0
20/1/2001,0.108532086,0,0
20/1/2001,0.129032755,0,0
20/1/2001,0.120141372,0,0
20/1/2001,0.119347089,0,0
20/1/2001,0.113356833,0,0
20/1/2001,0.115904917,0,0
20/1/2001,0.116855469,0,0
20/1/2001,0.117711978,0,0
20/1/2001,0.119422482,0,0
20/1/2001,0.113444277,0,0
20/1/2001,0.121435251,0,0
20/1/2001,0.1220891,0,0
20/1/2001,0.121525154,0,0
20/1/2001,0.117615186,0,0
20/1/2001,0.119955674,0,0
20/1/2001,0.127891254,0,0
20/2/2001,0.126136549,0,0
20/2/2001,0.123346015,0,0
20/2/2001,0.12351398,0,0
20/2/2001,0.122781594,0,0
20/2/2001,0.121428877,0,0
20/2/2001,0.125689264,0,0
20/2/2001,0.130181245,0,0
20/2/2001,0.137178424,0,0
20/2/2001,0.132840882,0,0
20/2/2001,0.128961468,0,0
20/2/2001,0.124183557,0,0
20/2/2001,0.131765119,0,0
20/2/2001,0.131071205,0,0
20/2/2001,0.133931511,0,0
20/2/2001,0.130877245,0,0
20/2/2001,0.130819004,0,0
20/2/2001,0.131228988,0,0
20/2/2001,0.131228988,0,0
20/2/2001,0.133786808,0,0
20/2/2001,0.138093744,0,0
20/3/2001,0.137195585,0,0
20/3/2001,0.146816101,0,0
20/3/2001,0.152826131,0,0
20/3/2001,0.148640351,0,0
20/3/2001,0.148359423,0,0
20/3/2001,0.15139738,0,0
20/3/2001,0.164093352,0,0
20/3/2001,0.168058341,0,0
20/3/2001,0.16863731,0,0
20/3/2001,0.160086077,0,0
20/3/2001,0.175475644,0,0
20/3/2001,0.176142922,0,0
20/3/2001,0.167228404,0,0
20/3/2001,0.177514289,0,0
20/3/2001,0.177196961,0,0
20/3/2001,0.156203363,0,0
20/3/2001,0.155948649,0,0
20/3/2001,0.163045932,0,0
20/3/2001,0.155539676,0,0
20/3/2001,0.154243581,0,0
20/3/2001,0.172529381,0,0
20/3/2001,0.180043344,0,0
20/4/2001,0.177126354,0,0
20/4/2001,0.179080857,0,0
20/4/2001,0.18300993,0,0
20/4/2001,0.179581365,0,0
20/4/2001,0.178093033,0,0
20/4/2001,0.177975195,0,0
20/4/2001,0.177347547,0,0
20/4/2001,0.17812091,0,0
20/4/2001,0.172689624,0,0
20/4/2001,0.171944746,0,0
20/4/2001,0.173101018,0,0
20/4/2001,0.169925067,0,0
20/4/2001,0.170393651,0,0
20/4/2001,0.165457748,0,0
20/4/2001,0.163640032,0,0
20/4/2001,0.172107166,0,0
20/4/2001,0.175501335,0,0
20/4/2001,0.172951496,0,0
20/4/2001,0.178241059,0,0
20/4/2001,0.174892242,0,0
20/4/2001,0.174041198,0,0
20/5/2001,0.176984853,0,0
20/5/2001,0.176370469,0,0
20/5/2001,0.178388767,0,0
20/5/2001,0.173393693,0,0
20/5/2001,0.179604258,0,0
20/5/2001,0.17570665,0,0
20/5/2001,0.179891576,0,0
20/5/2001,0.18166878,0,0
20/5/2001,0.182792718,0,0
20/5/2001,0.182418701,0,0
20/5/2001,0.179592724,0,0
20/5/2001,0.168523977,0,0
20/5/2001,0.167858931,0,0
20/5/2001,0.170727482,0,0
20/5/2001,0.162285152,0,0
20/5/2001,0.165193914,0,0
20/5/2001,0.1724014,0,0
20/5/2001,0.173487673,0,0
20/5/2001,0.17389668,0,0
20/5/2001,0.170504883,0,0
20/5/2001,0.169693432,0,0
20/5/2001,0.168096598,0,0
20/5/2001,0.171938407,0,0
20/6/2001,0.164571067,0,0
20/6/2001,0.170572088,0,0
20/6/2001,0.170017795,0,0
20/6/2001,0.17243774,0,0
20/6/2001,0.168993882,0,0
20/6/2001,0.177655613,0,0
20/6/2001,0.181105378,0,0
20/6/2001,0.175002895,0,0
20/6/2001,0.17775222,0,0
20/6/2001,0.183608778,0,0
20/6/2001,0.186538699,0,0
20/6/2001,0.188254927,0,0
20/6/2001,0.18483046,0,0
20/6/2001,0.180180449,0,0
20/6/2001,0.182361449,0,0
20/6/2001,0.186458893,0,0
20/6/2001,0.184572244,0,0
20/6/2001,0.177214804,0,0
20/6/2001,0.171628927,0,0
20/6/2001,0.173344284,0,0
20/6/2001,0.169943279,0,0
20/7/2001,0.169001433,0,0
20/7/2001,0.16987826,0,0
20/7/2001,0.168566045,0,0
20/7/2001,0.171944706,0,0
20/7/2001,0.165783747,0,0
20/7/2001,0.163700863,0,0
20/7/2001,0.161406175,0,0
20/7/2001,0.159024962,0,0
20/7/2001,0.154155393,0,0
20/7/2001,0.151068461,0,0
20/7/2001,0.1500304,0,0
20/7/2001,0.144223241,0,0
20/7/2001,0.142102445,0,0
20/7/2001,0.141104908,0,0
20/7/2001,0.142495189,0,0
20/7/2001,0.142335668,0,0
20/7/2001,0.14397503,0,0
20/7/2001,0.141988912,0,0
20/7/2001,0.145094922,0,0
20/7/2001,0.144700144,0,0
20/7/2001,0.14246742,0,0
20/7/2001,0.14783903,0,0
20/8/2001,0.147777429,0,0
20/8/2001,0.154576146,0,0
20/8/2001,0.147692005,0,0
20/8/2001,0.149946929,0,0
20/8/2001,0.149058699,0,0
20/8/2001,0.159686269,0,0
20/8/2001,0.148212989,0,0
20/8/2001,0.148729874,0,0
20/8/2001,0.149786286,0,0
20/8/2001,0.161648991,0,0
20/8/2001,0.157305395,0,0
20/8/2001,0.157224999,0,0
20/8/2001,0.157179137,0,0
20/8/2001,0.152608709,0,0
20/8/2001,0.16233247,0,0
20/8/2001,0.162400365,0,0
20/8/2001,0.156097069,0,0
20/8/2001,0.153733378,0,0
20/8/2001,0.15627005,0,0
20/8/2001,0.155625761,0,0
20/8/2001,0.159359949,0,0
20/8/2001,0.156631042,0,0
20/8/2001,0.154061949,0,0
20/9/2001,0.153485192,0,0
20/9/2001,0.155155703,0,0
20/9/2001,0.159181548,0,0
20/9/2001,0.162358969,0,0
20/9/2001,0.16171799,0,0
20/9/2001,0.158767621,0,0
20/9/2001,0.169046095,0,0
20/9/2001,0.165656238,0,0
20/9/2001,0.16717308,0,0
20/9/2001,0.168205133,0,0
20/9/2001,0.169211128,0,0
20/9/2001,0.166614897,0,0
20/9/2001,0.170145334,0,0
20/9/2001,0.173465573,0,0
20/9/2001,0.17216727,0,0
20/9/2001,0.166524828,0,0
20/9/2001,0.1638902,0,0
20/9/2001,0.160649786,0,0
20/9/2001,0.156102014,0,0
20/9/2001,0.157650272,0,0
20/10/2001,0.158872605,0,0
20/10/2001,0.162845779,0,0
20/10/2001,0.158820463,0,0
20/10/2001,0.159180409,0,0
20/10/2001,0.16637773,0,0
20/10/2001,0.169383918,0,0
20/10/2001,0.169022401,0,0
20/10/2001,0.16970347,0,0
20/10/2001,0.175209786,0,0
20/10/2001,0.179931356,0,0
20/10/2001,0.180612853,0,0
20/10/2001,0.182021154,0,0
20/10/2001,0.185732283,0,0
20/10/2001,0.185806989,0,0
20/10/2001,0.186343687,0,0
20/10/2001,0.184447676,0,0
20/10/2001,0.186563667,0,0
20/10/2001,0.187501369,0,0
20/10/2001,0.18696611,0,0
20/10/2001,0.185939682,0,0
20/10/2001,0.188803321,0,0
20/10/2001,0.189035633,0,0
20/10/2001,0.188674415,0,0
20/11/2001,0.191321338,0,0
20/11/2001,0.190397125,0,0
20/11/2001,0.192789484,0,0
20/11/2001,0.197928466,0,0
20/11/2001,0.201891213,0,0
20/11/2001,0.20126137,0,0
20/11/2001,0.199673497,0,0
20/11/2001,0.199837049,0,0
20/11/2001,0.19888432,0,0
20/11/2001,0.191423945,0,0
20/11/2001,0.186531419,0,0
20/11/2001,0.184283962,0,0
20/11/2001,0.190527032,0,0
20/11/2001,0.188926183,0,0
20/11/2001,0.184873878,0,0
20/11/2001,0.185441702,0,0
20/11/2001,0.187975673,0,0
20/11/2001,0.187569078,0,0
20/11/2001,0.189609979,0,0
20/11/2001,0.186285834,0,0
20/11/2001,0.184593852,0,0
20/11/2001,0.190258305,0,0
20/12/2001,0.191908852,0,0
20/12/2001,0.198687302,0,0
20/12/2001,0.205313459,0,0
20/12/2001,0.203265219,0,0
20/12/2001,0.207785095,0,0
20/12/2001,0.214567583,0,0
20/12/2001,0.214149183,0,0
20/12/2001,0.216299952,0,0
20/12/2001,0.218847451,0,0
20/12/2001,0.217644837,0,0
20/12/2001,0.219835864,0,0
20/12/2001,0.224417862,0,0
20/12/2001,0.225761606,0,0
20/12/2001,0.233682923,0,0
20/12/2001,0.22145509,0,0
20/12/2001,0.221516886,0,0
20/12/2001,0.222089067,0,0
20/12/2001,0.218462809,0,0
20/12/2001,0.224992729,0,0
20/12/2001,0.224295478,0,0
20/12/2001,0.22926342,0.000461965,0
20/1/2002,0.223941929,0.000461965,0
20/1/2002,0.231930968,-0.000270674,0
20/1/2002,0.236314022,-0.000714523,0
20/1/2002,0.241605739,-0.00154048,0
20/1/2002,0.243680893,-0.000384772,0
20/1/2002,0.244558957,-0.000356507,0
20/1/2002,0.239311376,0.000430889,0
20/1/2002,0.23360538,0.001077408,0
20/1/2002,0.23530979,0.001940119,0
20/1/2002,0.234322995,0.002277615,0
20/1/2002,0.228671362,0.001907803,0
20/1/2002,0.230177221,0.001560044,0
20/1/2002,0.230066668,0.001701237,0
20/1/2002,0.232929492,0.001781713,0
20/1/2002,0.240349057,0.002015158,0
20/1/2002,0.235210058,0.001852889,0
20/1/2002,0.234970243,0.001249272,0
20/1/2002,0.236644395,0.000207219,0
20/1/2002,0.237196348,0.00039296,0
20/1/2002,0.237105801,3.90E-05,0
20/1/2002,0.237422383,0.001532986,0
20/1/2002,0.237391723,0.001629327,0
20/1/2002,0.240273241,0.001133446,0
20/2/2002,0.237823995,0.001613379,0
20/2/2002,0.239723322,0.002481282,0
20/2/2002,0.239627734,0.003533422,0
20/2/2002,0.237329091,0.004112054,0
20/2/2002,0.242867737,0.003378553,0
20/2/2002,0.239613786,0.003388177,0
20/2/2002,0.239009105,0.001863776,0
20/2/2002,0.241974502,0.001906702,0
20/2/2002,0.239945397,0.001829763,0
20/2/2002,0.234414383,0.001322257,0
20/2/2002,0.23578393,0.001870476,0
20/2/2002,0.235330081,0.002297676,0
20/2/2002,0.235201975,0.002396509,0
20/2/2002,0.237647397,0.002433034,0
20/2/2002,0.246544927,0.002343255,0
20/2/2002,0.24448234,0.002130131,0
20/2/2002,0.240765638,0.002098325,0
20/2/2002,0.23968927,0.001769719,0
